id,jobPosition,number,workAddr,educationNorm,specialtyNorm,postNum,deptName
C6B584ED-4CFC-4914-9C57-609960AC575F,炼油化工装置生产操作岗,310,湖南省岳阳市,大专（高职）,石油化工技术、应用化工技术、精细化工技术、石油炼制技术、煤化工技术、高分子材料工程技术、高分子材料应用技术、高分子材料加工技术、高分子合成技术、材料工程技术、化学制药技术、生化制药技术、林产化工技术、有机化工生产技术、工业分析技术、机械设计与制造、化工装备技术、化工设备维修技术、机械制造及其自动化等相关专业,1159,巴陵石化
96E93D0B-C419-406F-9E32-AE1AA01472AC,工艺设计技术B岗,4,北京或国内外项目现场,硕士研究生,化学工程与技术、化学工艺、化学工程、应用化学、高分子化学、高分子物理、高分子材料、材料科学与工程（高分子方向）、高分子材料与工程、材料与化工（高分子方向）、热能工程、能源与动力工程、环境与能源工程、能源科学与工程、工程热物理、安全科学与工程、安全技术与工程、安全工程、安全检测及其他与炼化工程工艺设计密切相关的新能源、新材料、新工艺专业。,16,工程建设公司
C7B05F2F-75D5-49EA-936B-8157487B97CA,地球物理勘探博士B岗,2,江苏南京（参加工作前三年每年3-6个月在乌鲁木齐）,博士研究生,固体地球物理学、地球物理学、地球探测与信息技术、地质资源与地质工程（物探方向）、地质工程（物探方向）、海洋地质等专业,8,石油物探技术研究院
D9D25A0E-07EE-4565-829D-38093D73D76F,测试资料解释,1,北京,博士研究生,石油工程、油气田开发工程、油气井工程、石油与天然气工程、流体力学、工程力学、数学与应用数学、计算数学、应用数学、一般力学与力学基础、数学与应用数学、信息与计算科学等,4,石油工程技术研究院
64BECB5B-241B-4FB2-BB20-9896C211BBC3,控水防砂完井新技术研发,2,北京,博士研究生,材料成型及控制工程、工业设计、过程装备与控制工程、机械工艺技术、微机电系统工程、智能制造工程、机械类其他专业、工程机械工程、机械设计制造及其自动化、机械电子工程、动力机械及工程、流体机械及工程机械工程、机械制造及其自动化等,8,石油工程技术研究院
83CDB2CE-C05F-4ECC-BE77-CA0500B2AC27,油气储运与地面工程硕士岗,1,北京,硕士研究生,油气储运工程、化工工艺、动力工程及工程热物理、过程装备与控制等,4,石油勘探开发研究院
46A3F90D-62AF-4A5E-895B-A703019611D9,储气库研究博士岗,1,北京,博士研究生,石油工程、地质力学、钻采工程等,4,石油勘探开发研究院
7BA8574A-FCA5-47DA-A68B-AB0F3040CAE6,市场开拓岗-上海公司-外派美国储备岗,1,上海,硕士研究生,化学工程与技术,4,国际事业公司
8A800748-F6A7-4750-89D9-5138A7B8A083,炼油及化工工艺研发岗B,2,北京,博士研究生,化学工程、化学工艺、应用化学、工业催化、材料学、流体力学、化学工程与技术、化学、物理化学、无机化学、动力工程及工程热物理、材料与化工、环境工程等,8,石油化工科学研究院
0990854F-65C0-4CBD-9785-62EE050F21EC,润滑油脂研发岗B,1,北京,博士研究生,有机化学、高分子化学与物理、应用化学、化学工艺、化学工程、材料科学与工程等,4,石油化工科学研究院
D7FC93AB-045C-4D8D-8829-72DADFEA66BF,炼油及化工工艺技术岗B,7,北京,硕士研究生,化学工程、化学工艺、应用化学、工业催化、材料学、流体力学、化学工程与技术、化学、物理化学、无机化学、动力工程及工程热物理、材料与化工、材料科学与工程、材料物理与化学、材料学、材料加工工程、环境工程等,29,石油化工科学研究院
B69EA8F2-5E2B-4FE7-B498-6A3D1CCBE542,工艺技能运行岗,275,浙江宁波,大专（高职）,"1、石油化工技术、石油炼制技术、精细化工技术、有机化工生产技术、高分子合成技术、煤化工技术、应用化工技术、分析检验技术（工业分析与检验）、化工智能制造技术等化工类专业；
2、环境监测技术、环境工程技术等水处理相关专业；
3、材料工程技术、高分子材料智能制造技术等有机或高分子材料相关专业；
4、化学制药技术、药品生产技术专业。",1196,镇海炼化
0ADD9E4E-26BC-467C-B229-48079193D8EE,电气仪表储备岗A,8,宁夏银川,硕士研究生,电气工程及其自动化、电厂热工及其自动化、电力系统继电保护与自动化、仪表自控热控、发电厂及电力系统、自动化,36,宁夏能源化工有限公司
99844B80-715F-41F7-9298-E17DAEF7C8A5,油气储运岗,2,海外/北京,硕士研究生,"油气储运工程
（LNG）",9,国际石油勘探公司
2539405F-116A-4D56-ABD9-E8887ABA70C2,油气井工程岗,2,海外/北京,硕士研究生,"油气井工程
（天然气）",9,国际石油勘探公司
AA928C1A-5CB0-4BED-8387-4C2D45B273A2,勘探开发信息技术博士岗,2,北京,博士研究生,数学地质、石油地质、油气田开发工程、石油工程等,9,石油勘探开发研究院
8D982FE2-9478-4CD6-9893-18B4C54F205B,测井与岩石物理博士岗,2,北京,博士研究生,应用地球物理（测井方向）、地球探测与信息技术（测井方向）、地质资源与地质工程（测井方向）,9,石油勘探开发研究院
BC0ED633-D6FA-4E87-BCFD-F3A766838813,管道技能操作岗,13,项目所在地,大专（高职）,机械设计制造；机械制造与自动化；数控技术；机电设备技术；油气储运技术等相关专业,61,南京工程公司
CC95CA4F-1AFC-4629-8DEE-864B9BB23C0C,炼化操作岗,100,南京,大专（高职）,石油化工类、机械设备类、热能电力类、分析检验类、油气储运类、水处理环境工程类等相关专业,460,金陵石化
799BB710-5B04-4ED5-8364-98EBB81B6EA1,技能操作岗,60,上海,大专（高职）,石油化工技术、应用化工技术、化工生物技术、化学工程与工艺、化工装备技术、油气储运技术、高分子材料加工技术、工业过程自动化技术、工业分析技术、电气自动化技术、机电一体化、机械制造工艺与设备、机械制造与自动化、热能动力类、电力系统继电保护与自动化技术、火电厂集控运行、电厂热工自动化技术、安全环保类等炼油化工类专业及相关专业,272,高桥石化
4B730B04-8244-4DCA-AEBE-2C04F973C4C6,炼化装置操作岗,90,河南洛阳,大专（高职）,石油化工技术、石油炼制技术、应用化工技术、有机化工生产技术、高聚物生产技术、精细化学品生产技术、石油化工生产技术、炼油技术、工业分析技术、化工装备技术、化工设备维修技术、机械设计与制造、机械制造及自动化、高分子材料应用技术、机电设备维修与管理、化工分析与检验、火电厂集控运行、电厂热能动力装置、油气储运技术、铁道机车、铁道信号、铁道运输等相关专业。,417,洛阳石化
791BDBE2-40F5-45F3-88BE-2B55541589E8,炼化操作岗,181,上海市金山区,大专（高职）,石油化工技术、石油炼制技术、石油化工工艺、精细化学品生产技术、药品生产技术、煤化工技术、应用化工技术、精细化工技术、高分子材料应用技术、有机化工生产技术、高聚物生产技术、高分子材料智能制造技术、高分子合成技术、化工安全技术、化工装备技术、化工设备维修技术、材料工程技术、机械设计与制造、机械制造及自动化、机械装备制造技术、机电设备技术、电机与电器技术、制冷与空调技术、化工智能制造技术、新能源装备技术、储能材料技术、材料成型及控制技术、智能控制技术、生产过程自动化技术、工业过程自动化技术、化工自动化技术、电气自动化技术、工业分析与检验、分析检验技术、机电一体化技术、环境监测与治理、工业水处理技术、环境工程技术、电厂化学与环保技术、发电厂及电力系统、电力系统自动化技术、供用电技术、电力系统继电保护技术、油气储运技术、给排水工程技术、环境监测技术、水环境智能监测和治理等与炼油化工高度相关专业。,841,上海石化
25A43630-FEB3-4C75-966A-8A4DBAEB2085,工艺操作岗,59,南京,大专（高职）,应用化工技术、石油炼制技术、石油化工技术、石油化工生产技术、高分子合成技术、精细化工技术、有机化工、煤化工生产技术、化工安全技术、药品生产与技术、药品质量与安全、材料工程技术、炼油技术等相关专业,286,扬子石化
F44F804E-B393-4A2C-A624-D19579D74372,生产技术岗（B）,25,福建 漳州,本科,化工与制药类、化学类，材料科学与工程、高分子材料与工程、材料化学、新能源科学与工程等专业,122,南京化工公司
0FAAED29-0DB6-456A-855E-F86CD375E187,编辑（记者）岗位2,2,北京,硕士研究生,石油石化相关专业,10,石化报社
A4AE857A-D112-4274-B569-9343B5B9D337,储运技术储备岗,4,上海市金山区,本科、硕士研究生,油气储运工程、油气加工工程，或与以上高度相关专业,20,上海石化
3BE490A5-F323-4BCD-A684-7C09A50BF55A,炼化工程项目管理储备B岗,3,北京（炼化工程集团本部）或国内外项目现场,硕士研究生,化学工程与技术、化学工艺、化学工程、高分子化学、高分子材料、材料科学与工程（高分子方向）、高分子材料与工程、材料与化工（高分子方向）、安全科学与工程、安全技术与工程、安全工程、电气工程、电力系统及其自动化、电力电子与电力传动、项目管理、工程管理、应用统计、应用经济学及其他与炼化工程项目管理密切相关的专业。,16,工程建设公司
998FA275-5B2E-411B-B002-1FD88DAA683E,化工储备岗A,1,宁夏银川,博士研究生,高分子材料、高分子化工,5,宁夏能源化工有限公司
86133E5C-3E9D-4606-8380-B6377AFFE02E,工具研发岗,2,北京,硕士研究生,材料成型及控制工程、工业设计、过程装备与控制工程、机械工艺技术、微机电系统工程、智能制造工程、机械类其他专业、工程机械工程、机械设计制造及其自动化、机械电子工程、动力机械及工程、流体机械及工程等,10,石油工程技术研究院
99FE3A4C-323D-4E21-81AA-BA27414FDC76,钻井流体研发B岗,1,北京,硕士研究生,化学工艺、化学生物学、油田化学应用技术、高分子化学与物理、材料科学与工程、化学工程与工艺、材料化学、能源化学工程、材料物理与化学、材料科学与工程、材料物理、化学、应用化学、分子科学与工程、能源化学、分析化学、有机化学、物理化学（含：化学物理）、高分子化学与物理、化学工程、化学工艺、油气井工程、油气田开发工程、钻井技术、油气开采技术、石油工程技术、石油工程、海洋油气工程、钻探技术等,6,石油工程技术研究院
C6C2B412-C198-4366-A983-F7095DCF10FA,天然气储运技术岗（B）,8,广州、潮州、北海、南宁、川渝等天然气分公司所属南方单位驻地,硕士研究生,油气储运工程、石油与天然气工程（油气储运方向）、资源与环境（石油与天然气工程方向）,41,天然气分公司
FE196FB6-C1F5-4C18-BE3E-1BF632E80854,安装专业工程师岗（三地生）,2,宁波、项目所在地,本科、硕士研究生,过程装备与控制工程；机械设计制造及其自动化；机械工程及自动化；机械电子工程；智能制造工程及相关专业,11,宁波工程公司
F801441E-13C5-44EA-8326-3976E7429727,松原地区加能站站经理储备A岗（油气储运管培生）,1,吉林省松原市,本科、硕士研究生,油气储运类等相关专业,5,吉林石油分公司
DC61F3F5-8D49-4EBC-BF65-61DD7C2555C6,设备管道工程师岗（三地生）,1,项目所在地,本科,过程装备与控制工程；机械工程；机械设计制造及其自动化；材料成型及控制工程；油气储运工程等相关专业,6,南京工程公司
BD2744DE-BFDF-4C16-8BB8-E0CC9855060F,油气储运操作岗,6,南京,大专（高职）,油气储运技术、石油化工技术等相关专业,30,扬子石化
F2E03717-1BC9-470D-96B7-C0F1627BF8C5,钻完井工程高级研究岗,1,上海,博士研究生,"1.研究方向包括：钻井工艺技术、固井工艺、井控工艺与设备、油气层保护技术、钻完井液、完井工艺等。
2.专业包括：油气井工程、油田化学、完井工程、海洋油气工程等专业。",5,上海海洋油气分公司
1E3C75AE-1776-436A-838F-A1652B8E968E,新能源运营管理岗,1,北京,硕士研究生,化学工程、应用化学、精细化工、新能源,6,燃料油公司
5121C34E-731F-4E47-927F-2BB114F14FC7,未来科学家储备岗B,3,北京,博士研究生,化学、物理、物理化学等理学专业,15,石油化工科学研究院
DB57DDA3-CEC5-4261-8968-D8C85ED80E27,产品分析技能岗,30,浙江宁波,大专（高职）,分析检验技术（工业分析与检验）等有机物质分析类专业。,158,镇海炼化
C2467DEA-9A7F-482D-924B-0E8A5DC035D1,石油工程管理岗,5,海外,硕士研究生,石油与天然气工程（油气井工程、油气田开发工程方向）,26,国际石油工程公司
768A6B7D-2519-4CC8-95E4-5B86A258CBDE,炼化生产操作岗,25,广西北海市,大专（高职）,石油化工生产技术、石油化工技术、石油炼制技术、炼油技术、应用化工技术、油气储运技术、机电一体化技术、生产过程自动化技术、工业分析与检验、环境监测与治理、工业水处理技术、港口与航运管理、铁路交通运行管理等相关专业,131,北海炼化
E09478AD-CA32-4C3A-94C4-CF6874E02934,设备设计B岗,4,北京或国内外项目现场,硕士研究生,动力工程及工程热物理、动力工程、化工过程机械、流体机械及工程、动力机械及工程、机械工程、机械工学、机械工程及其自动化、机械电子工程、机械设计及理论、设计制造、焊接工艺与设备、焊接技术与工程、材料成型与控制工程（金属焊接方向）及其他与炼化工程设备设计密切相关的专业。,22,工程建设公司
C5168D7B-D567-48D5-AE2A-9136ED3BF546,高分子材料工程研究博士B岗,4,北京市,博士研究生,高分子化学与物理、材料科学与工程（重点高分子材料与工程、材料物理与化学、材料学、材料加工工程）,21,北京化工研究院
A682D3AC-9823-4977-AF59-C3678274A197,仪表控制与智能传感研发岗,4,青岛,博士研究生,计算机科学与技术、控制科学与工程、仪器科学与技术、电子科学与技术、材料科学与工程等相关专业,21,安全工程研究院
B568C506-CFDA-4F6C-A9FA-09BA906AA719,生产操作岗2,150,广州,大专（高职）,石油化工生产技术、石油化工技术、石油炼制技术、石油化工工艺、精细化学品生产技术、炼油技术、煤化工技术、应用化工技术、精细化工技术、高分子材料应用技术、有机化工生产技术、高聚物生产技术、高分子材料智能制造技术、高分子合成技术、化工装备技术、化工设备维修技术、材料工程技术、机械设计与制造、机械制造及自动化、机械装备制造技术、给排水工程技术、工业水处理技术、油气储运技术、工业分析与检验、化工自动化技术、工业过程自动化技术等相关专业,793,广州石化
490057B4-2247-4A59-84F9-D97387C4D0AB,生产技术岗（三地生）,15,新疆 乌鲁木齐,本科,化工与制药类、化学类，材料科学与工程、高分子材料与工程、材料化学、新能源科学与工程等专业,81,南京化工公司
4CCBDD66-8960-4F96-9BA5-CB85BD7D4E96,机械制造操作岗2,24,荆州、潜江、承德,大专（高职）,焊接技术、焊接技术与自动化、数控技术、数控设备应用与维护、机电一体化技术、机电设备维修与管理、液压与气动技术、汽车检测与维修技术、电气自动化技术、无损检测技术、金属材料及热处理技术、机械制造及自动化、机械装备制造技术、精密机械技术、机电设备技术、机械电子工程、数字化设计与制造技术、液压与气动技术、材料成型与控制技术、材料工程技术、汽车制造与装配技术、汽车电子技术、通信技术、检测技术与应用、理化测试及质检技术、管道工程技术、管道工程施工、机器人工程技术、电机与电器技术、自动化生产设备应用、电力系统自动化技术、电子测量技术与仪器、电子仪器仪表与维修、电子设备与运行管理等,127,石油机械股份有限公司
2E25D5B5-BA09-4CB0-A5C6-81ECF4C352AD,编辑A岗,3,北京,硕士研究生,化学工程与工艺、过程装备与控制、炼油技术专业、电气工程、石油与天然气工程、石油地质及相关专业,17,石化出版社
FA6EFD08-E743-4809-93A8-B2C15FDB0C81,管道设计B岗,3,北京或国内外项目现场,硕士研究生,化学工程与技术、化学工程、化学工艺、动力工程及工程热物理、化学工程与工业生物工程、应用化学、材料化学、高分子材料与工程、能源化学工程、氢能科学与工程、新能源科学与工程、储能科学与工程、石油加工、机械设计制造及其自动化、过程装备与控制工程、动力机械及工程、机械工程、机械工学、流体机械及工程、机械工程及其自动化、化工过程机械、能源与动力工程、材料科学与工程、金属材料工程、材料成型与控制工程、焊接技术与工程、理论与应用力学、工程力学、力学及其他与炼化工程管道设计密切相关的专业。,16,工程建设公司
CB048E15-AF7A-47BC-A51D-AFB2BDE6BBBD,炼油化工操作岗,95,河北省石家庄市,大专（高职）,石油化工生产技术、炼油技术、应用化工技术、有机化工生产技术、高聚物生产技术、精细化学品生产技术、化学制药、环境工程、化工设备维修技术、化工装备技术、机械制造与自动化等炼油化工生产相关专业,516,石家庄炼化
FB26FAE7-7E44-46F5-827D-B760F35A056D,生产操作岗（A）,15,江苏 南京,大专（高职）,应用化工技术、精细化工技术、石油化工技术、煤化工技术、高分子合成技术、分析检验技术、化工智能制造技术、化学制药技术、药品生产技术、化工安全技术、环境监测技术、油气储运技术等专业,82,南京化工公司
33E2B01E-1189-44EA-A602-1F721239ACB2,炼油化工装置生产储备岗,420,广东茂名,本科,高分子材料与工程、化学工程与工艺、化学工程与工业生物工程、应用化学、化学、材料物理、材料化学、材料工程、材料科学与工程、金属材料工程、功能材料、涂料工程、智能材料与结构、化学测量学与技术、新能源科学与工程、新能源材料与器件、能源化学工程、资源循环科学与工程、精细化工、煤化工、分子科学与工程、过程装备与控制工程、机械工程、材料成型及控制工程、机械设计制造及其自动化、机械电子工程、机械工程及自动化、机械工艺技术、油气储运工程、环保设备工程、轻化工程、轻工类等炼油化工相关专业。,2301,茂名石化
