id,job_position,number,work_addr,education_norm,specialty_norm,post_num,dept_name,timestamp,post_num_num_ratio
2EF97EF4-F613-41FF-BD9C-63FD11806077,华中有限公司信息化建设,1,湖北武汉,本科、硕士研究生,"计算机应用技术、通信与信息系统、计算机系统结构；
计算机科学与技术、软件工程、物联网工程、智能科学与技术、数字媒体技术、空间信息与数字技术、新媒体技术、信息管理与信息系统、电子与计算机工程、数据科学与大数据技术、大数据管理与应用",101,润滑油公司,2023-11-02 21:47:22,101.0
A2FAD58B-D18E-434C-90E1-4676B49484B2,数字化管理岗,1,天津及项目所在地,本科、硕士研究生,"硕研：计算机软件与理论、计算机应用技术、计算机系统结构、软件工程、网络安全等相关专业。
本科：计算机科学与技术、软件工程、网络工程、信息安全、电子与计算机工程等相关专业。",106,第四建设公司,2023-11-02 21:47:15,106.0
555CAC1F-C08F-4B37-9BC2-12A11EA2DA3E,IT业务岗（武汉）,1,湖北武汉,本科、硕士研究生,信息与计算科学、应用数学、电子信息工程、电子科学与技术、信息工程、电子信息科学与技术、计算机科学与技术、软件工程、网络工程、信息安全、智能科学与技术、人工智能、电子与计算机工程、数据科学与大数据技术、网络空间安全、保密技术、计算机网络技术、计算机系统与维护、软件技术、软件与信息服务、数字展示技术、信息安全与管理、移动应用开发、云计算技术与应用、大数据技术与应用、计算机软件与理论、计算机应用技术、软件工程类其他专业、网络空间安全类其他专业,123,共享服务公司,2023-11-02 21:47:27,123.0
A18CB897-DBCC-4A50-8AD4-5DC404C8C827,信息设备管理岗A,1,天津石油所属二级单位,本科,电子信息工程、电子科学与技术、通信工程、信息工程、电子信息科学与技术、计算机科学与技术、软件工程、网络工程、信息安全、物联网工程、电子与计算机工程等相关专业,128,天津石油分公司,2023-11-02 21:47:26,128.0
64A8FE65-1D78-4EB9-947A-AC0A96ADB680,信息技术操作岗,2,河北省石家庄市,本科、硕士研究生,计算机科学与技术、软件工程、网络工程、信息安全、物联网工程等计算机类专业,261,石家庄炼化,2023-11-02 21:47:28,130.5
296E5CDD-CB7A-496F-B4C7-2B59CDFA6D72,互联网运营与数据分析B岗,1,重庆,本科,计算机软件与理论、计算机应用技术、计算机科学与技术、软件工程、网络工程、信息安全、智能科学与技术、统计学、应用数学、数据科学与大数据技术、基础数学、概率论与数理统计、计算数学类专业,132,重庆石油分公司,2023-11-02 21:47:31,132.0
783ACEA9-20B5-42DC-A470-A66AEA72006E,信息分析岗2,1,佛山、东莞、惠州、珠海、中山、肇庆,本科、硕士研究生,统计学类、电子信息工程、电子科学与技术、通信工程、微电子科学与工程、光电信息科学与工程、信息工程、物理电子学、电路与系统、信号与信息处理、通信与信息系统、计算机科学与技术、软件工程、网络工程、信息安全、物联网工程、智能科学与技术、电子与计算机工程、数据科学与大数据技术,151,广东石油分公司,2023-11-02 21:47:29,151.0
6A546C8C-CDDC-4638-85D4-ED6706FCC08D,计算机与数据分析管理岗,1,河北省各地市,本科,计算机科学与技术、软件工程、物联网工程、网络工程、信息安全、数字媒体技术、数据科学与大数据技术、新媒体技术、电子信息工程、电子科学与技术、计算机系统结构、计算机软件与理论、计算机应用技术、数字与信息技术、统计学、应用统计学、大数据分析、统计分析、基础数学、计算数学、系统分析与集成、概率论与数理统计、数学与应用数学、应用数学、运筹学与控制论、能源经济等与岗位工作相关专业。,153,河北石油分公司,2023-11-02 21:47:33,153.0
0004FC71-3713-4B75-9813-6CF7DD2750B9,信息技术岗（本科）,1,广州、武汉、天津、南京,本科,计算机科学与技术、软件工程、信息管理及其他相关专业,159,新星石油公司,2023-11-02 21:47:32,159.0
029AD1FD-8A8F-4EBC-AD3B-20B528BA3DCD,计算机信息岗,2,天津,本科、硕士研究生,计算机技术、计算机科学与技术、计算机应用技术、计算机软件与理论、软件工程、网络工程、通信工程、信息工程、电子信息工程、电子科学与技术等计算机信息类专业,449,天津石化,2023-11-02 21:47:34,224.5
C361CBB6-8EBE-4756-9B70-524E4C44DA85,综合管理岗,1,陕西咸阳,本科,企业管理、公共管理、行政管理、社会保障、汉语言文字学、新闻学、新闻与传播、马克思主义理论、秘书学、法学，法律，民商法学，知识产权，经济法学，纪检监察，诉讼法学、计算机类,276,陕西石油分公司,2023-11-02 21:47:35,276.0
